1,absent,absens,"(adj) not present",absent,ausente,assente
2,accelerate,accelerare,"(v) speed up, quicken",accélérer,acelerar,accelerare
3,accept,acceptare,"(v) consent to receive a thing offered",accepter,aceptar,accettare
4,acceptable,acceptabilis,"(adj) able to be agreed on",acceptable,aceptable,accettabile
5,acervate,acervus,"(n) a dense heap or mass",unknown,acervo,acervo
6,acid,acidus,"(adj) having properties of an acid, sour or sharp-tasting",acide,ácido,acido
7,acrid,acris,"(adj) sharp, pungent",âcre,acre,acre
8,adorn,adornare,"(v) make beautiful, embellish",orner,adornar,adornare
9,agrarian,agrarius,"(adj) relating to cultivated land",agraire,agrario,agrario
10,agriculture,agricultura,"(n) the science or practice of farming",agriculture,agricultura,agricoltura
11,alate,alatus,"(adj) winged",ailé,alado,alato
12,albino,albus,"(adj) white, pale, clear",albino,albino,albino
13,albumen,albus,"(n) white, pale, clear",albumen,albumen,albume
14,alter,alter,"(adj) either, other",autre,otro,altro
15,altitude,altitudo,"(n) height or elevation",altitude,altitud,altitudine
16,amatory,amatorius,"(adj) relating to love or desire, amorous",amoureax,apasionado,amoroso
17,amble,ambulare,"(v) move about at a relaxed pace",promener,pasear,passeggiare
18,ambulatory,ambulatorius,"(adj) mobile or adapted for walking",ambulatoire,ambulante,ambulante
19,amiable,amicus,"(adj) friendly, loving, kind",aimable,amable,amabile
20,amicable,amicabilis,"(adj) friendly, cordial",amical,amigable,amichevole
21,amity,amicitia,"(n) friendship, alliance",concorde,amistad,amicizia
22,ancient,ante,"(adj) before",ancien,ante antiguo,antico
23,animal,animal,"(n) living thing, creature",animal,animal,animale
24,announce,annuntiare,"(v) to say or make known",annoncer,anunciar,annunciare
25,annual,annus,"(n) one year",an,año,anno
26,antecedent,antecedens,"(adj) going before",antécédent,antecedente,antecedente
27,antique,antiquus,"(adj) former, ancient",antique,antiguo,antico
28,aperture,apertura,"(n) an opening",ouverture,apertura,apertura
29,appeal,appellare,"(v) address, call upon or solicit",faire appel,apelar,appellar(si)
30,appear,apparere,"(v) come into view",apparaître,aparecer,apparire
31,aquatic,aqua,"(n) water",aquatique,acuático,acquatico
32,aquiline,aquila,"(n) eagle",aquilin,aguileño,aquilino
33,arable,arare,"(v) to plow; till",arable,arable,arabile
34,arboreal,arbor,"(n) tree",arboricole,arbóreo,arboreo
35,ardent,ardens,"(adj) burning; eager, passionate",ardent,ardiente,ardente
36,arson,ardere,"(v) to burn",incendie,incendio,incendio
37,associate,associare,"(v) join, link or ally with",associer,asociar,associare
38,audacious,audacia,"(adj) boldness, courage",audacieux,audaz,audace
39,audition,auditio,"(n) act or sense of hearing",audition,audición,audizione
40,auditorium,auditorium,"(n) theater; lecture room",auditorium,auditorio,auditorio
41,auditory,auditorius,"(adj) relating to hearing",auditif,auditivo,uditivo
42,augment,augere,"(v) to increase",augmenter,aumentar,aumentare
